SKU,PN
IDENTITY_THREAT_PROTECTION,Microsoft 365 E5 Security
FLOW_FREE_DYN365_CDS_VIRAL,Microsoft Flow Free - Common Data Service
EXCHANGEARCHIVE_FACULTY,Exchange Archiving for Faculty
STANDARDPACK_MYANALYTICS_P2,O365 E1 - Insights by MyAnalytics
STANDARDPACK_DYN365_CDS_O365_P1,O365 E1 - Common Data Service
ENTERPRISEWITHSCAL ,Office 365 Enterprise E4
M365_LIGHTHOUSE_PARTNER_PLAN1,Microsoft 365 Lighthouse (Plan 2)
EXCHANGE_S_STANDARD_GOV,Exchange Online (Plan 1) for Government
LITEPACK_SHAREPOINTLITE,O365 Small Business - Sharepointlite
CRMSTORAGE,Dynamics 365 - Additional Database Storage (Qualified Offer)
COMMUNICATIONS_DLP,Microsoft Communications Dlp
OFFICESUBSCRIPTION_SHAREPOINTWAC,M365 Apps for Enterprise - Office for web
ENTERPRISEPREMIUM_THREAT_INTELLIGENCE,O365 E5 - Office 365 Threat Intelligence
CRMPLAN2_CRMPLAN2,Microsoft Dynamics CRM Online Basic
PROJECTPREMIUM,Project Online Premium
WACSHAREPOINTSTD,Office Online
MICROSOFT_REMOTE_ASSIST_CDS_REMOTE_ASSIST,Microsoft Remote Assistant - Common Data Service
KAIZALA_O365_P3,Microsoft Kaizala Pro Plan 3
O365_BUSINESS_PREMIUM_SWAY,M365 Business Standard - Sway
Dynamics_365_Hiring_Free_PLAN,Dynamics 365 for Talent: Attract
CRMINSTANCE,Dynamics 365 - Additional Production Instance (Qualified Offer)
UNIVERSAL_PRINT_NO_SEEDING,Universal Print Without Seeding
POWERAPPS_P2_VIRAL,Power Apps Trial
MCOPSTNC,Communications Credits
EXCHANGE_S_ARCHIVE_ADDON_GOV,Exchange Online Archiving
STREAM_O365_E1_GOV,Microsoft Stream for Office 365 for Government (E1)
CDS_PER_APP_IWTRIAL,CDS Per app baseline access
D365_FIELD_SERVICE_ATTACH,Dynamics 365 for Field Service Attach to Qualifying Dynamics 365 Base Offer
DYN365_RETAIL_TRIAL,Dynamics 365 for Retail Trial
LITEPACK_P2,Office 365 Small Business Premium
ENTERPRISEPREMIUM_ATP_ENTERPRISE,O365 E5 - Office 365 Advanced Threat Protection (P1)
O365_BUSINESS_ESSENTIALS_SWAY,M365 Business Basic - Sway
EMS_RMS_S_PREMIUM,Ent Mobility + Security E3 - Azure Information Protection P1
EXCHANGE_L_STANDARD,Exchange Online (P1)
EXCHANGE_S_FOUNDATION,Exchange Foundation
PROJECT_PROFESSIONAL,Project P3
DEVELOPERPACK_SWAY,O365 E3 Developer - Sway
POWERAPPSFREE,Power Apps
ENTERPRISEPREMIUM_NOPSTNCONF_EQUIVIO_ANALYTICS,O365 E5 Without Audio Conferencing - Office 365 Advanced eDiscovery
COMMUNICATIONS_COMPLIANCE,Microsoft Communications Compliance
DYN365_CDS_FOR_PROJECT_P1,Common Data Service for Project P1
M365_F1_INTUNE_A,M365 F1 - Microsoft Intune
MCOSTANDARD_FACULTY,Skype for Business Online (Plan 2) for Faculty
IWs PROJECT_MADEIRA_PREVIEW_IW_SKU,Dynamics 365 Business Central for
VISIOONLINE_GOV,Visio Web App for Government
EXCHANGEARCHIVE_ADDON_EXCHANGE_S_ARCHIVE_ADDON,Exchange Online Archiving for Exchange Online
O365_BUSINESS_ONEDRIVESTANDARD,M365 Apps for Business - OneDrive for Business
PROJECTONLINE_PLAN_5_SWAY,Project Online Premium Without Project Client - Sway
PROJECTONLINE_PLAN_1_SHAREPOINTENTERPRISE,Project Online Premium Without Project Client - SharePoint (P2)
OFFICESUBSCRIPTION_OFFICESUBSCRIPTION,Office 365 Pro Plus
SPE_F1_FLOW_O365_S1,M365 F1 - Flow for Office 365 K1
AAD_PREMIUM_P2_MFA_PREMIUM,Azure AD Premium P2 - Azure Multi-Factor Authentication
EXCHANGE_S_DESKLESS,Exchange Online Kiosk
ENTERPRISEWITHSCAL_STUDENT,Office 365 Education E4 for Students
SHAREPOINT_PROJECT_EDU,Project Online for Education
O365_BUSINESS_PREMIUM_YAMMER_ENTERPRISE,M365 Business Standard - Yammer Enterprise
SMB_BUSINESS_PREMIUM_OFFICE_BUSINESS,M365 Business Standard - Office 365 Business
SPE_F1_SWAY,M365 F1 - Sway
DESKLESSPACK_SHAREPOINTWAC,O365 F1 - Office for web
O365_BUSINESS,Microsoft 365 Apps for Business
SMB_BUSINESS_FORMS_PLAN_E1,M365 Apps for Business - Microsft Forms (Plan E1)
MCOEV_MCOEV,Microsoft Teams Phone 
TEAMS_COMMERCIAL_TRIAL_PROJECTWORKMANAGEMENT,Microsoft Teams Commercial Cloud - Microsoft Planner
Windows_Autopatch,Windows Autopatch
DEVELOPERPACK_FLOW_O365_P2,O365 E3 Developer - Flow for Office 365
ENTERPRISEPACK_EXCHANGE_S_ENTERPRISE,O365 E3 - Exchange Online (P2)
SMB_BUSINESS_PREMIUM_PROJECTWORKMANAGEMENT,M365 Business Standard - Microsoft Planner
OFFICESUBSCRIPTION_SWAY,M365 Apps for Enterprise - Sway
STANDARDWOFFPACK_IW_FACULTY,Office 365 A1 Plus for Faculty
MINECRAFT_EDUCATION_EDITION,Minecraft Education Edition
BPOS_S_TODO_1,To-do (Plan 1)
M365_F1_AAD_PREMIUM,M365 F1 - Azure AD Premium P1
SMB_BUSINESS_ONEDRIVESTANDARD,M365 Apps for Business - OneDrive for Business
Content_Explorer,Information Protection and Governance Analytics - Premium
M365EDU_A5_FACULTY,Microsoft 365 A5 for Faculty
DYN365_ENTERPRISE_PLAN1_PROJECT_CLIENT_SUBSCRIPTION,D365 Customer Engagement Plan Ent Edition - Project Online Desktop Client
EXCHANGE_S_FOUNDATION_GOV,Exchange Foundation for Government
M365_F1_EXCHANGE_S_DESKLESS,M365 F1 - Exchange Online Kiosk
PROJECTONLINE_PLAN_1_SHAREPOINTWAC,Project Online Premium Without Project Client - Office for web
MEETING_ROOM,Microsoft Teams Rooms Standard
AAD_SMB,Azure Active Directory
PROJECTPREMIUM_SHAREPOINT_PROJECT,Project Online Premium - Project Online Service
DYN365_FINANCIALS_TEAM_MEMBERS,Dynamics 365 for Team Members
PROJECTONLINE_PLAN_1_SHAREPOINT_PROJECT,Project Online Premium Without Project Client - Project Online Service
CRMSTANDARD_FLOW_DYN_APPS,MS Dynamics CRM Online - Flow for Dynamics 365     
DYN365_BUSCENTRAL_ENVIRONMENT,Dynamics 365 Business Central Additional Environment Addon
WIN10_VDA_E5_WINDEFATP,Windows 10 Enterprise E5 - Microsoft Defender Advanced Threat Protection
ML_CLASSIFICATION,Microsoft ML-Based Classification
DYN365_SCM,Dynamics 365 for Supply Chain Management
Dynamics_365_for_OperationsDevices,Dynamics 365 for Operations Devices
STANDARDPACK_PROJECTWORKMANAGEMENT,O365 E1 - Microsoft Planner
ENTERPRISEPACKWSCAL,Office 365 Enterprise E4
STREAM_O365_E1,Microsoft Stream for Office 365 E1
SHAREPOINTPARTNER,SharePoint Online Partner Access
PHONESYSTEM_VIRTUALUSER,Microsoft Teams Phone Resoure Account
OFFICESUBSCRIPTION_IW,Office 365 Pro Plus (Self Purchased)
ENTERPRISEPACK_OFFICESUBSCRIPTION,O365 E3 - Office 365 ProPlus
DYN365_ENTERPRISE_PLAN1_NBENTERPRISE,D365 Customer Engagement Plan Ent Edition - MS Social Engagement - Service Discontinuation
POWER_BI_STANDARD_BI_AZURE_P0,Power BI (free)
SHAREPOINTWAC_EDU,Office for the Web for Education
SHAREPOINTONLINE_MULTIGEO,SharePoint Multi-Geo
SMB_BUSINESS_OFFICE_BUSINESS,M365 Apps for Business - Office 365 Business
ONEDRIVEBASIC,OneDrive for Business Basic
SMB_BUSINESS_PREMIUM_FORMS_PLAN_E1,M365 Business Standard - Microsft Forms (Plan E1)
M365EDU_A5_STUDENT,Microsoft 365 A5 for Students
ENTERPRISEPACKLRG,Office 365 (Plan E3)
RIGHTSMANAGEMENT_ADHOC,Rights Management Adhoc
PROJECT_ESSENTIALS,Project Online Essentials
CDS_O365_E5_KM,Common Data Service for SharePoint Syntex
DYN365_CDS_O365_P3,Common Data Service - O365 P3
OFFICESUBSCRIPTION_GOV,Microsoft 365 Apps for Government
SPE_F1_MCOIMP,M365 F1 - Skype for Business Online (P1)
POWERAUTOMATE_ATTENDED_RPA,Power Automate per user with attended RPA plan
ENTERPRISEPACK_BPOS_S_TODO_2,O365 E3 - To-do (P2)
EXCHANGESTANDARD,Exchange Online (Plan 1)
LITEPACK,Office 365 Small Business
POWERAPPS_P1_GOV,Power Apps Plan 1 for Government
ENTERPRISEWITHSCAL_SWAY,O365 E4 - Sway
BI_AZURE_P2,Power BI Pro
RIGHTSMANAGEMENT_FACULTY,Azure Active Directory Rights for Faculty
M365_LIGHTHOUSE_CUSTOMER_PLAN1,Microsoft 365 Lighthouse (Plan 1)
ENTERPRISEWITHSCAL_SHAREPOINTENTERPRISE,O365 E4 - SharePoint (P2)
PAM_ENTERPRISE,Office 365 Privileged Access Management
DEVELOPERPACK_PROJECTWORKMANAGEMENT,O365 E3 Developer - Microsoft Planner
ENTERPRISEPREMIUM_M365_ADVANCED_AUDITING,O365 E5 - Microsoft 365 Advanced Auditing
D365_IOTFORSCM,Iot Intelligence Add-in for D365 Supply Chain Management
ENTERPRISEPACK_MCOSTANDARD,O365 E3 - Skype for Business Online (P2)
O365_BUSINESS_PREMIUM_WHITEBOARD_PLAN1,M365 Business Standard - Whiteboard (P1)
D365_ProjectOperations,Dynamics 365 Project Operations
CDS_FORM_PRO_USL,Common Data Service
WACONEDRIVESTANDARD_GOV,OneDrive for Business with Office Web Apps for Government
O365_BUSINESS_ESSENTIALS_SHAREPOINTWAC,M365 Business Basic - Office for web
ENTERPRISEPREMIUM_KAIZALA_STANDALONE,O365 E5 - Microsoft Kaizala Pro
PROJECTESSENTIALS,Project Online Essentials
MICROSOFTSTREAM,MICROSOFT STREAM
WSfB_EDU_Faculty,Windows Store for Business EDU Faculty
FLOW_O365_S1_GOV,Power Automate for Office 365 F3 for Government
OFFICE_PRO_PLUS_SUBSCRIPTION_SMBIZ,Office 365 Small Business Subscription
